pltID,mukey,muname
3_22_19_44,1413684,"Guyton silt loam, 0 to 1 percent slopes, occasionally flooded"
3_22_3_17,1586110,"Kinder-Gist complex, 0 to 1 percent slopes"
3_22_3_19,1586104,"Guyton-Ouachita complex, 0 to 1 percent slopes, frequently flooded"
3_22_3_46,1586104,"Guyton-Ouachita complex, 0 to 1 percent slopes, frequently flooded"
3_22_3_48,1586105,"Glenmora silt loam, 1 to 3 percent slopes"
3_22_3_9,1586100,"Cahaba-Bienville-Guyton complex, gently undulating"
3_22_53_28,1414677,"Kaplan silt loam, 0 to 1 percent slopes"
3_22_69_1,1903105,"Gore silt loam, 1 to 5 percent slopes"
3_22_79_91,569972,"Moreland clay, 0 to 1 percent slopes, rarely flooded"
4_22_33_30,608301,"Deerford-Verdun complex, 0 to 1 percent slopes"
4_22_63_33,569739,"Deerford-Verdun complex, 0 to 1 percent slopes"
4_22_91_8,1721643,"Ouachita, Ochlockonee and Guyton soils, 0 to 3 percent slopes, frequently flooded"
5_22_17_15,2805715,"Guyton silt loam, 0 to 1 percent slopes, frequently flooded"
5_22_21_25,1725667,"Savannah-sacul association, gently sloping"
4_28_47_130,332431,"Harleston fine sandy loam, 2 to 5 percent slopes"
3_37_45_30,117053,"Appling sandy loam, 1 to 6 percent slopes"
3_47_111_28,527721,"Sugargrove gravelly silt loam, 5 to 12 percent slopes, eroded"
3_47_159_27,529820,"Hawthorne gravelly silt loam, 20 to 60 percent slopes"
3_47_15_26,524438,"Inman flaggy silty clay loam, 12 to 20 percent slopes, eroded"
3_47_169_11,530020,"Hampshire silt loam, 12 to 20 percent slopes, eroded"
3_47_3_41,529372,"Dellrose gravelly silt loam, 20 to 45 percent slopes, eroded"
3_47_55_58,527294,"Dellrose gravelly silt loam, 5 to 12 percent slopes, eroded"
3_47_87_34,530190,"Hawthorne gravelly silt loam, 20 to 60 percent slopes"
3_47_87_35,530175,"Barfield-Gladdice-Rock outcrop complex, 30 to 70 percent slopes"
4_47_133_39,2517266,"Sequoia silty clay loam, 15 to 30 percent slopes"
4_47_133_43,843339,"Garmon-Newbern complex, 40 to 80 percent slopes, rocky"
4_47_13_52,524262,"Fullerton and Bodine gravelly silt loams, 25 to 70 percent slopes"
4_47_13_53,524269,"Muskingum-Sequoia-Petros complex, 30 to 60 percent slopes"
4_47_141_35,2427492,"Mountview silt loam, 2 to 5 percent slopes"
4_47_151_45,530695,"Bethesda-Mines pit complex, 10 to 80 percent slopes"
5_47_105_25,525931,"Emory silt loam, 0 to 4 percent slopes, occasionally flooded"
5_47_173_24,529992,"Rough gullied land, montevallo soil material"
5_47_179_28,3189477,"Bowmantown silt loam, 2 to 6 percent slopes"
5_47_25_2,524533,Muskingum stony fine sandy loam (st-l)
5_47_57_32,525037,"Talbott-Rock outcrop-Bradyville complex, 5 to 20 percent slopes, eroded"
5_47_59_68,525224,Whitesburg silt loam
5_47_93_43,632861,"Salacoa-Apison complex, 5 to 12 percent slopes"
1_48_185_69,366732,"Axtell fine sandy loam, 1 to 5 percent slopes"
1_48_199_15,379688,"Kirbyville-Niwana complex, 0 to 2 percent slopes"
1_48_199_19,379678,"Simelake-Pluck complex, 0 to 1 percent slopes, frequently flooded"
1_48_199_48,2760760,"Aris-Spindletop complex, 0 to 1 percent slopes"
1_48_199_64,2760770,"Evadale-Aldine complex, 0 to 1 percent slopes"
1_48_199_78,379698,Oil wasteland
1_48_201_113,3103248,"Katy-Urban land complex, 0 to 1 percent slopes"
1_48_201_141,367409,Water
1_48_201_166,367393,"Lake Charles clay, 0 to 1 percent slopes"
1_48_201_72,2760790,"League clay, 0 to 1 percent slopes"
1_48_225_111,575551,"Sawlit-Latex complex, 0 to 2 percent slopes"
1_48_241_101,2888406,"Hatliff-Pluck-Kian complex, 0 to 1 percent slopes,  frequently flooded"
1_48_241_112,374455,"Simelake-Pluck complex, 0 to 1 percent slopes, frequently flooded"
1_48_241_113,2888409,"Kirbyville fine sandy loam, 0 to 2 percent slopes"
1_48_241_66,374412,"Bernaldo-Besner complex, gently undulating"
1_48_241_81,374455,"Simelake-Pluck complex, 0 to 1 percent slopes, frequently flooded"
1_48_245_28,2888524,"Anahuac-Urban land complex, 0 to 2 percent slopes"
1_48_245_81,2888523,"Anahuac very fine sandy loam, 0 to 2 percent slopes"
1_48_289_79,369201,"Hatliff fine sandy loam, frequently flooded"
1_48_291_37,2888292,"Vamont clay, 0 to 1 percent slopes"
1_48_291_51,2888333,"Camptown frequently ponded-Batson complex, 0 to 1 percent slopes"
1_48_291_57,369265,"Cowmarsh mucky silty clay, 0 to 1 percent slopes, frequently flooded, frequently ponded"
1_48_291_93,2888247,"Anahuac-Aris complex, 0 to 1 percent slopes"
1_48_339_28,575575,"Conroe loamy fine sand, 0 to 5 percent slopes"
1_48_351_109,2888417,"Otanya very fine sandy loam, 1 to 3 percent slopes"
1_48_351_11,2888406,"Hatliff-Pluck-Kian complex, 0 to 1 percent slopes,  frequently flooded"
1_48_351_32,374425,"Iuka soils, frequently flooded"
1_48_351_45,2773763,"Urbo and Mantachie soils, frequently flooded"
1_48_351_74,2888390,"Camptown silt loam, 0 to 1 percent slopes, frequently ponded"
1_48_351_76,2888393,"Evadale silt loam, 0 to 1 percent slopes"
1_48_351_95,374458,"Woodville-Redco association, gently undulating"
1_48_361_21,2888538,"Orcadia-Aris complex, 0 to 1 percent slopes, rarely flooded"
1_48_361_3,2888514,"Spurger-Caneyhead frequently ponded complex, 0 to 1 percent slopes"
1_48_361_38,2888506,"Evadale silt loam, 0 to 1 percent slopes"
1_48_373_20,2888471,"Belrose loamy fine sand, 0 to 3 percent slopes"
1_48_373_22,576214,"Pophers silty clay loam, 0 to 1 percent slopes, frequently flooded"
1_48_373_41,576213,"Pinetucky fine sandy loam, 1 to 5 percent slopes"
1_48_455_68,577123,"Fuller fine sandy loam, 1 to 3 percent slopes"
1_48_457_12,1488163,"Stringtown-Bonwier complex, 5 to 15 percent slopes"
1_48_457_73,1479414,"Woodville fine sandy loam, 5 to 15 percent slopes"
1_48_457_74,1479393,"Hatliff-Pluck-Kian complex, 0 to 1 percent slopes,  frequently flooded"
1_48_471_77,575947,"Galilee-Gomery association, rolling"
1_48_473_19,373899,"Wockley fine sandy loam, 0 to 1 percent slopes"
1_48_5_13,575218,"Kurth fine sandy loam, 1 to 3 percent slopes"
1_48_5_51,575199,"Fuller fine sandy loam, 1 to 4 percent slopes"
1_48_71_42,2760751,"Sourlake loam, 0 to 1 percent slopes, frequently flooded"
1_48_71_8,2760727,"Labelle-Levac complex, 0 to 1 percent slopes"
2_48_1_88,575169,"Trawick fine sandy loam, 2 to 8 percent slopes"
2_48_365_66,575699,"Mattex clay loam, 0 to 1 percent slopes, frequently flooded"
2_48_73_4,575320,Bub-Trawick complex
4_48_157_8,365945,"Lake Charles clay, 0 to 1 percent slopes"
4_48_391_47,371495,"Papalote fine sandy loam, 0 to 1 percent slopes"
5_48_29_9,390478,"Branyon clay, 0 to 1 percent slopes"
1_17_151_10234,607231,"Grantsburg silt loam, 2 to 5 percent slopes"
2_18_143_20048,165801,"Trappist-Rohan silt loams, 12 to 25 percent slopes"
2_24_21_643,534847,"Penn silt loam, 3 to 8 percent slopes"
2_24_43_842,534729,"Weikert very channery silt loam, 8 to 15 percent slopes"
2_24_5_837,2427582,"Urban land, 0 to 8 percent slopes"
4_26_81_20150,187202,Urban land
3_29_131_20002,2535990,"Ocie gravelly silt loam, 8 to 15 percent slopes, very stony"
8_36_119_2158,309703,"Charlton-Chatfield complex, 0 to 15 percent slopes, very rocky"
8_36_27_2577,290728,Urban land
8_36_27_5833,290632,"Chatfield-Hollis complex, rolling, very rocky"
8_36_59_1414,292941,Urban land
3_39_119_2432,537948,"Watertown sandy loam, 1 to 8 percent slopes"
3_39_119_3002,537863,"Brookside silty clay loam, 15 to 40 percent slopes"
3_39_59_2925,536965,"Westmoreland silt loam, 25 to 35 percent slopes"
5_39_89_3572,170999,"Brownsville channery silt loam, 6 to 12 percent slopes"
0_42_61_4762,541962,"Berks channery silt loam, 8 to 15 percent slopes"
5_42_3_6034,541686,"Gilpin-Upshur complex, very steep"
5_42_7_4271,2900271,"Gilpin-Upshur complex, 15 to 25 percent slopes"
8_42_79_3459,296431,"Dekalb  channery sandy loam, 8 to 25 percent slopes, rubbly"
9_42_133_4434,542916,"Neshaminy channery silt loam, 8 to 25 percent slopes, extremely bouldery"
9_42_71_5901,542780,"Manor very stony silt loam, 25 to 60 percent slopes"
2_54_93_6194,3054922,"Brownsville-Berks complex, moist, 25 to 35 percent slopes, very stony"
3_54_109_814,513493,"Matewan-Pineville-Guyandotte association, very steep, extremely stony"
3_54_45_242,1155553,"Matewan-Highsplint-Guyandotte association, very steep, extremely stony"
3_54_5_1617,514865,"Lily-Dekalb complex, 15 to 35 percent slopes"
3_54_5_371,514851,"Berks-Shelocta association, very steep, extremely stony"
3_54_5_421,514855,"Matewan-Pineville-Guyandotte association, very steep, extremely stony"
3_54_5_634,514867,Potomac sandy loam
4_54_29_1456,1713174,"Berks soils, 35 to 65 percent slopes"
4_54_85_472,513288,"Gilpin-Upshur complex, 40 to 55 percent slopes"
4_54_99_274,515023,"Latham-Gilpin complex, 15 to 25 percent slopes"
1_1_3_8,328189,"Plummer loamy sand, 0 to 5 percent slopes"
1_1_97_10,2995000,"Rattlesnake Forks-Blanton complex, 8 to 25 percent slopes"
3_1_85_53,2514935,"Freest fine sandy loam, 0 to 2 percent slopes"
5_1_117_80,331461,"Townley silt loam, 12 to 18 percent slopes"
1_21_131_14,552143,"Fairpoint soils, undulating"
1_21_133_32,550726,"Cloverlick-Shelocta-Kimper complex, 20 to 80 percent slopes, very stony"
1_21_195_45,3025697,"Handshoe-Fedscreek-Shelocta complex, 30 to 80 percent slopes, very stony"
1_21_195_67,3025697,"Handshoe-Fedscreek-Shelocta complex, 30 to 80 percent slopes, very stony"
2_21_115_7,550863,"Fairpoint-Bethesda complex, 6 to 30 percent slopes"
2_21_127_10,3098708,"Shelocta-Handshoe-Fedscreek complex, 30 to 60 percent slopes, stony"
3_21_13_21,552110,"Cloverlick-Guyandotte-Highsplint complex, 20 to 80 percent slopes, very stony"
6_21_171_3,549921,"Trimble cherty silt loam, 20 to 30 percent slopes"
1_22_29_72,1723852,Alligator clay
1_22_41_18,1711107,"Loring silt loam, 1 to 3 percent slopes"
1_22_67_30,569796,"Guyton-Cascilla complex, frequently flooded"
2_22_101_46,740598,"Hydraquents, Carville, and Glenwild soils, undulating, flooded"
2_22_109_221,393666,"Clovelly muck, slightly saline, tidal"
2_22_113_119,1539684,"Bancker muck, 0 to 0.2 percent slopes, very frequently flooded"
2_22_125_8,1725597,"Feliciana and Natchez silt loams, 8 to 60 percent slopes"
2_22_1_19,376920,"Kinder-Vidrine complex, 0 to 1 percent slopes"
2_22_1_20,376920,"Kinder-Vidrine complex, 0 to 1 percent slopes"
2_22_1_32,376888,"Crowley silt loam, 0 to 1 percent slopes"
2_22_1_43,376924,"Patoutville-Crowley complex, 0 to 1 percent slopes"
2_22_1_69,376920,"Kinder-Vidrine complex, 0 to 1 percent slopes"
2_22_1_8,376920,"Kinder-Vidrine complex, 0 to 1 percent slopes"
2_22_45_49,824181,Fausse-Carville association
2_22_45_92,824208,Water
2_22_57_10,808529,"Schriever clay, 0 to 1 percent slopes, occasionally flooded"
2_22_7_20,1414505,"Schriever clay, 0 to 1 percent slopes, frequently flooded"
2_22_97_102,823560,"Kinder-Vidrine complex, 0 to 1 percent slopes"
2_22_97_105,823544,"Loring silt loam, 5 to 8 percent slopes"
2_22_97_34,823567,"Jeanerette silt loam, 0 to 1 percent slopes"
2_22_97_94,823540,Lebeau clay
2_22_99_33,3260448,"Sharkey clay, 0 to 1 percent slopes, frequently flooded, deltaic plain"
2_22_9_9,1711949,"Moreland clay, 0 to 1 percent slopes, rarely flooded"
2_22_9_92,1711949,"Moreland clay, 0 to 1 percent slopes, rarely flooded"
3_22_115_150,1725552,"Guyton silt loam, 0 to 1 percent slopes, occasionally flooded"
3_22_115_62,1725548,"Guyton-Iulus complex, 0 to 1 percent slopes, frequently flooded"
3_22_115_63,1725557,Kirbyville-Niwana complex
3_22_11_10,1725716,"Malbis fine sandy loam, 3 to 5 percent slopes"
3_22_11_107,1725683,"Beauregard silt loam, 1 to 3 percent slopes"
3_22_11_120,1725701,"Dubach-Bearhead fine sandy loams, gently undulating"
3_22_11_17,1725696,"Caddo-Messer complex, 0 to 1 percent slopes"
3_22_11_27,1725696,"Caddo-Messer complex, 0 to 1 percent slopes"
3_22_11_57,1725708,"Guyton silt loam, 0 to 1 percent slopes, occasionally flooded"
3_22_11_6,1725708,"Guyton silt loam, 0 to 1 percent slopes, occasionally flooded"
3_22_11_74,1725711,"Iuka-Mantachie complex, frequently flooded"
3_22_11_80,1725696,"Caddo-Messer complex, 0 to 1 percent slopes"
3_22_19_114,1413673,"Bienville-Cahaba-Guyton-Complex, gently undulating"
3_22_19_14,1413688,"Kinder-Gist complex, 0 to 1 percent slopes"
3_22_19_29,1413670,"Barbary mucky clay, 0 to 1 percent slopes, frequently flooded"
3_22_19_49,1413685,Guyton and Bienville soils frequently flooded
3_22_19_69,1413688,"Kinder-Gist complex, 0 to 1 percent slopes"
3_22_19_70,1413684,"Guyton silt loam, 0 to 1 percent slopes, occasionally flooded"
3_22_19_71,1413696,"Mowata-Vidrine complex, 0 to 1 percent slopes, rarely flooded"
3_22_19_74,1413696,"Mowata-Vidrine complex, 0 to 1 percent slopes, rarely flooded"
3_22_39_32,1017153,"Kinder-Vidrine complex, 0 to 1 percent slopes"
3_22_39_33,1017134,Jeanerette silt loam
3_22_39_37,1017117,"Caddo-Messer complex, 0 to 1 percent slopes"
3_22_39_48,1017153,"Kinder-Vidrine complex, 0 to 1 percent slopes"
3_22_3_39,1586100,"Cahaba-Bienville-Guyton complex, gently undulating"
3_22_3_57,1586096,"Bienville loamy fine sand, 1 to 5 percent slopes"
3_22_3_67,1586109,"Guyton-Messer complex, 0 to 1 percent slopes, rarely flooded"
3_22_3_84,1586097,"Caddo-Messer complex, 0 to 1 percent slopes"
3_22_53_17,1414679,"Kinder-Gist complex, 0 to 1 percent slopes"
3_22_53_18,1414662,"Acadia silt loam, 1 to 3 percent slopes"
3_22_85_37,1903031,"Guyton-Iuka association, frequently flooded"
4_22_103_60,327009,"Myatt fine sandy loam, 0 to 1 percent slopes"
4_22_103_67,327009,"Myatt fine sandy loam, 0 to 1 percent slopes"
4_22_105_27,1536518,"Ouachita, Ochlockonee and Guyton soils, 0 to 3 percent slopes, frequently flooded"
4_22_105_33,1536521,"Ruston-Smithdale association, 3 to 12 percent slopes"
4_22_105_37,1536505,"Abita silt loam, 2 to 5 percent slopes"
4_22_105_45,1536516,Myatt fine sandy loam
4_22_105_89,1536511,"Guyton silt loam, 0 to 1 percent slopes, rarely flooded"
4_22_117_14,1724149,"Ruston fine sandy loam, 1 to 3 percent slopes"
4_22_117_47,1724139,"Cahaba fine sandy loam, 1 to 5 percent slopes"
4_22_117_68,1724152,"Savannah fine sandy loam, 3 to 8 percent slopes"
4_22_33_18,577016,"Ouachita, Ochlockonee, and Guyton soils, nearly level to undulating, frequently flooded"
4_22_33_38,3260444,"Sharkey-Tunica clays, 0 to 3 percent slopes, gently undulating, frequently flooded"
4_22_33_50,577018,"Satsuma silt, 1 to 3 percent slopes"
4_22_37_23,1605283,"Tangi silt loam, 1 to 3 percent slopes"
4_22_37_8,1605275,"Ouachita, Ochlockonee and Guyton soils, 0 to 3 percent slopes, frequently flooded"
4_22_63_1,569749,"Ouachita, Ochlockonee and Guyton soils, 0 to 3 percent slopes, frequently flooded"
4_22_63_15,569753,"Satsuma silt loam, 1 to 3 percent slopes"
4_22_63_18,569747,"Myatt fine sandy loam, occasionally flooded"
4_22_63_21,569738,"Colyell-Springfield silt loams, frequently flooded"
4_22_63_32,569737,"Colyell silt loam, 1 to 3 percent slopes, rarely flooded"
4_22_63_43,569757,Verdun silt loam
4_22_63_57,569748,"Natalbany silty clay loam, frequently flooded"
4_22_91_14,1721653,"Toula silt loam, 1 to 3 percent slopes"
4_22_91_17,1721652,"Tangi silt loam, 3 to 8 percent slopes"
5_22_111_59,1725334,"Groom silt loam, occassionally flooded"
5_22_15_13,605186,"Bossier clay, 0 to 1 percent slopes, frequently flooded"
5_22_31_66,2795805,"Eastwood very fine sandy loam, 5 to 20 percent slopes"
5_22_61_2,571123,"Iuka-Dela complex, 0 to 1 percent slopes, frequently flooded"
5_22_61_34,571126,"McLaurin loamy fine sand, 1 to 3 percent slopes"
5_22_81_9,1720681,"Ruston association, sloping"
4_28_73_24,332859,"McLaurin fine sandy loam, 2 to 5 percent slopes"
5_28_85_40,568139,"Bude silt loam, 0 to 2 percent slopes"
3_37_159_22,114971,"Cecil sandy loam, 2 to 8 percent slopes"
3_37_197_29,2396727,"Fairview fine sandy loam, 15 to 25 percent slopes"
3_37_97_106,2424512,"Tomlin sandy clay loam, 2 to 6 percent slopes, moderately eroded"
3_37_97_26,2424716,"Fairview sandy clay loam, 15 to 25 percent slopes, moderately eroded"
1_47_131_53,567261,"Memphis silt loam, 2 to 5 percent slopes,  moderately eroded, northern phase"
2_47_71_68,327613,"Pickwick silty clay loam, 5 to 8 percent slopes, severely eroded"
3_47_103_77,525841,"Mimosa silt loam, 12 to 20 percent slopes, eroded"
3_47_111_1,527703,"Hawthorne gravelly silt loam, 20 to 60 percent slopes"
3_47_111_37,527703,"Hawthorne gravelly silt loam, 20 to 60 percent slopes"
3_47_15_32,524420,"Dellrose gravelly silt loam, shallow over clay, 20 to 40 percent slopes, eroded"
3_47_41_29,527052,"Dellrose gravelly silt loam, 20 to 30  percent slopes, eroded"
3_47_55_71,527298,"Dellrose gravelly silt loam, 20 to 30  percent slopes, eroded"
3_47_87_1,530175,"Barfield-Gladdice-Rock outcrop complex, 30 to 70 percent slopes"
4_47_141_47,2427406,"Sugargrove gravelly silt loam, 5 to 12 percent slopes"
4_47_177_1,529907,"Mountview silt loam, 2 to 5 percent slopes"
4_47_177_36,529876,"Cumberland silt loam, 5 to 12 percent slopes, eroded"
4_47_185_16,2517268,"Varilla-Beetree-Muse complex, 20 to 45 percent slopes, very stony"
5_47_29_73,524764,"Cataska channery silt loam, 50 to 80 percent slopes"
5_47_59_80,525095,"Dunmore gravelly silty clay loam, 12 to 25 percent slopes, eroded"
1_48_199_6,379713,"Waller-Dallardsville complex, 0 to 1 percent slopes"
1_48_199_71,379688,"Kirbyville-Niwana complex, 0 to 2 percent slopes"
1_48_199_96,379678,"Simelake-Pluck complex, 0 to 1 percent slopes, frequently flooded"
1_48_201_151,2760793,"Mocarey-Yeaton complex, 0 to 1 percent slopes"
1_48_201_157,2760790,"League clay, 0 to 1 percent slopes"
1_48_201_186,367363,"Addicks loam, 0 to 1 percent slopes"
1_48_201_25,2760808,"Atasco fine sandy loam, 2 to 5 percent slopes"
1_48_201_88,367379,"Clodine-Urban land complex, 0 to 1 percent slopes"
1_48_201_97,367379,"Clodine-Urban land complex, 0 to 1 percent slopes"
1_48_241_100,2888406,"Hatliff-Pluck-Kian complex, 0 to 1 percent slopes,  frequently flooded"
1_48_241_30,2888395,"Evadale-Aldine complex, 0 to 1 percent slopes"
1_48_241_32,2888390,"Camptown silt loam, 0 to 1 percent slopes, frequently ponded"
1_48_241_33,2888426,"Silsbee fine sandy loam, 3 to 5 percent slopes"
1_48_241_61,2888406,"Hatliff-Pluck-Kian complex, 0 to 1 percent slopes,  frequently flooded"
1_48_241_89,374455,"Simelake-Pluck complex, 0 to 1 percent slopes, frequently flooded"
1_48_241_99,2888394,"Evadale-Gist complex, 0 to 1 percent slopes"
1_48_245_1,374939,Water
1_48_245_73,2888515,"Texla silt loam, 0 to 2 percent slopes"
1_48_245_74,2888487,"Labelle clay loam, 0 to 1 percent slopes"
1_48_245_87,2888518,"Simelake clay, 0 to 1 percent slopes, frequently flooded"
1_48_289_89,369185,"Derly-Rader complex, gently undulating"
1_48_291_101,2888294,"Hatliff-Pluck-Kian complex, 0 to 1 percent slopes,  frequently flooded"
1_48_291_106,2888300,"Kaman clay, 0 to 1 percent slopes, frequently flooded"
1_48_291_111,369300,Water
1_48_291_120,2888266,"Camptown silt loam, 0 to 1 percent slopes, frequently ponded"
